Id_bien;Cod_depcom;No_voie;Btq;Type_voie;Voie;Code_postal;Com_ad;Surface_Carrez;Type_local;Nb_pieces;Surface_terrain
28857;76540;3;;RUE;CHARLOTTE PERRIAND;76000;ROUEN;90.25;Appartement;4;
28858;77108;65;;AV;DE LA RESISTANCE;77500;CHELLES;82.48;Appartement;4;
28859;77111;6;;RUE;D ARIANE;77700;CHESSY;43.54;Appartement;2;
28860;77114;1;;PL;DE L EGLISE;77173;CHEVRY-COSSIGNY;33.05;Appartement;2;
28861;77122;14;;RUE;SOMMEVILLE;77380;COMBS LA VILLE;82.5;Appartement;4;
28862;77127;21;B;RUE;EUGENE DORLET;77170;COUBERT;27.9;Appartement;2;
28863;77131;19;;RUE;YVETTE TROISPOUX;77120;COULOMMIERS;56.69;Appartement;4;
28864;77284;30;;RUE;DE LA GRANDE ILE;77100;MEAUX;33.39;Appartement;1;
28865;77288;35;;AV;GEORGES POMPIDOU;77000;MELUN;76.4;Appartement;4;
28866;77288;19;B;RUE;DE LA ROCHETTE;77000;MELUN;40.58;Appartement;2;
28867;77390;7;;RUE;DE L'EGALITE;77680;ROISSY-EN-BRIE;61.5;Appartement;3;
28868;77514;29;;RUE;DE LA MARNE;77270;VILLEPARISIS;37;Appartement;2;
28869;78015;23;;CHE;DES MAROTTES;78570;ANDRESY;57.57;Appartement;3;
28870;78090;19;;RUE;LAGUILLERMIE;78410;BOUAFLE;115.3;Maison;5;
28871;78126;102;;;RES ELYSEE 2;78170;CELLE-SAINT-CLOUD (LA);18.43;Appartement;1;
28872;78160;12;;PL;DES HALLES;78460;CHEVREUSE;76.4;Appartement;4;
28873;78165;3;;RUE;TRISTAN BERNARD;78340;CLAYES-SOUS-BOIS (LES);64.17;Appartement;4;
28874;78165;3;;RUE;DES PINSONS;78340;CLAYES-SOUS-BOIS (LES);30.13;Appartement;1;
28875;78172;53;;RUE;DESIRE CLEMENT;78700;CONFLANS SAINTE HONORINE;57.78;Appartement;3;
28876;78208;24;;VC;LES NOUVEAUX HORIZONS;78990;ELANCOURT;67.5;Appartement;3;
28877;78208;25;;VC;LES NOUVEAUX HORIZONS;78990;ELANCOURT;46.72;Appartement;2;
28878;78224;12;;RTE;DE SAINT NOM;78620;ETANG-LA-VILLE (L );113.84;Appartement;5;
28879;78297;1;;RUE;DU QUATORZE JUILLET;78280;GUYANCOURT;63.65;Appartement;3;
28880;78358;24;;RUE;MASSON;78600;MAISONS-LAFFITTE;15.21;Appartement;1;
28881;78358;28;;RUE;DES COTES;78600;MAISONS-LAFFITTE;38.81;Appartement;1;
28882;78361;3;;RUE;DE LA BRASSERIE ST ROCH;78200;MANTES-LA-JOLIE;56.8;Appartement;3;
28883;78466;1;;RUE;DE MORAINVILLIERS;78630;ORGEVAL;135.03;Maison;5;
28884;78498;96;;RUE;DE VILLIERS;78300;POISSY;64.52;Appartement;3;
28885;78522;1;;RUE;DES CARDINAUX DE ROHAN;78730;ROCHEFORT-EN-YVELINES;28.51;Appartement;1;
28886;78551;11;;RUE;D OURCHES;78100;SAINT-GERMAIN-EN-LAYE;30.85;Appartement;1;
28887;78575;21;;RUE;CHESNEAU;78470;SAINT-REMY-LES-CHEVREUSE;20.7;Appartement;1;
28888;78586;4;;RUE;EDISON;78500;SARTROUVILLE;53.36;Appartement;3;
28889;78621;6;;SQ;GEORGE SAND;78190;TRAPPES;98.53;Appartement;5;
28890;78646;46;;RUE;DE LA PAROISSE;78000;VERSAILLES;4.38;Appartement;4;
28891;79191;30;;RUE;BASSE;79000;NIORT;73.17;Appartement;3;
28892;80016;40;;RUE;DES ILLIEUX;80300;ALBERT;57.99;Appartement;3;
28893;83009;271;;BD;DES GRAVIERS;83150;BANDOL;24.54;Appartement;2;
28894;83019;111;;BD;DE LA PLAGE;83230;BORMES-LES-MIMOSAS;28.11;Appartement;1;
28895;83042;35;;RUE;DE LA RESISTANCE;83310;COGOLIN;55.14;Appartement;3;
28896;83062;64;;AV;DU HUIT MAI 1945;83130;LA GARDE;80.1;Appartement;4;
28897;83070;3;;AV;VINCENT AURIOL;83980;LE LAVANDOU;53.1;Appartement;2;
28898;83070;75;;RUE;DU CANNIER;83980;LE LAVANDOU;45.25;Appartement;2;
28899;83098;335;;RUE;HECTOR BERLIOZ;83220;LE PRADET;54.31;Appartement;3;
28900;83123;237;;RTE;DE LA GARE;83110;SANARY SUR MER;30.12;Appartement;1;
28901;83126;37;;RUE;DU LOT LES SAGNARELLES IV;83500;LA SEYNE SUR MER;83.4;Appartement;4;
28902;83126;453;;AV;NOEL VERLAQUE;83500;LA SEYNE SUR MER;24.42;Appartement;2;
28903;83126;58;;AV;AMBROISE THOMAS;83500;LA SEYNE SUR MER;39.7;Appartement;2;
28904;83129;389;;CHE;DE LOMBARD;83140;SIX-FOURS-LES-PLAGES;50.93;Appartement;2;
28905;83129;500;;AV;JOSEPH RAYNAUD;83140;SIX-FOURS-LES-PLAGES;67.55;Appartement;4;
28906;83129;199;;RUE;CURET BAS;83140;SIX-FOURS-LES-PLAGES;49.78;Appartement;2;
28907;83137;17;;RUE;D ALGER;83000;TOULON;45.37;Appartement;2;
28908;84007;66;;RUE;BONNETERIE;84000;AVIGNON;138.5;Appartement;4;
28909;84035;63;;AV;PROSPER MERIMEE;84300;CAVAILLON;47.55;Appartement;2;
28910;84132;21;;LOT;POUVAREL 2;84250;LE THOR;69.4;Maison;3;
28911;85194;36;;RUE;DE LA CITE DES PINS;85180;SABLES-D'OLONNE (LES);25.23;Appartement;2;
28912;85194;4;;RUE;DU VILLEBREQUIN;85100;SABLES-D'OLONNE (LES);41.32;Appartement;3;
28913;85226;9001;;RES;L ACAPULCO;85270;SAINT-HILAIRE-DE-RIEZ;35.07;Appartement;2;
28914;87050;12;;RUE;DES EMAILLEURS;87270;COUZEIX;45.2;Appartement;2;
28915;88383;74;;BD;THIERS;88200;REMIREMONT;44.31;Appartement;2;
28916;89024;83;;RUE;DE PARIS;89000;AUXERRE;54.26;Appartement;2;
28917;91174;2;;RUE;CHARLES DREZET;91100;CORBEIL ESSONNES;23.81;Appartement;1;
28918;91191;27;;RUE;BOILEAU;91560;CROSNE;66.35;Appartement;4;
